               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  40,            0.038378,            0.017075,                   0,                   1,             0.99993,               0.995,             0.74658,            0.016085,           0.0096425,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.038264,            0.017025,                   0,             0.99968,                   1,               0.995,             0.74724,            0.016863,           0.0084987,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.037898,            0.016986,                   0,                   1,             0.99923,               0.995,              0.4494,            0.021108,            0.014952,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.037485,            0.017065,                   0,             0.99936,                   1,               0.995,              0.6965,            0.016706,            0.010078,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.037108,            0.016872,                   0,                   1,             0.99937,               0.995,              0.7219,            0.013192,           0.0079147,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.035775,             0.01657,                   0,                   1,             0.99972,               0.995,             0.59846,            0.018435,            0.011562,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.036377,            0.016543,                   0,             0.99976,                   1,               0.995,               0.722,            0.016076,           0.0099407,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.03659,            0.016663,                   0,                   1,              0.9996,               0.995,             0.69812,            0.014872,            0.011617,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.036409,            0.016776,                   0,             0.99973,                   1,               0.995,             0.64815,            0.016939,            0.012186,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.036589,            0.016728,                   0,                   1,             0.99986,               0.995,             0.74782,            0.013672,            0.010161,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.036254,            0.016581,                   0,                   1,             0.99982,               0.995,             0.54969,            0.019003,            0.013184,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.035396,            0.016089,                   0,                   1,             0.99979,               0.995,             0.74702,            0.013068,           0.0095187,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.036234,            0.015934,                   0,             0.99968,                   1,               0.995,               0.796,            0.015695,            0.010925,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.035301,            0.016076,                   0,                   1,             0.99997,               0.995,             0.60025,            0.014176,            0.010702,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.035151,            0.016007,                   0,             0.99961,                   1,               0.995,               0.796,            0.012135,           0.0084657,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.034745,            0.016319,                   0,              0.9995,                   1,               0.995,             0.74685,             0.01267,           0.0098117,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.034923,            0.015839,                   0,             0.99968,                   1,               0.995,             0.84726,             0.01074,           0.0070652,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.034836,            0.015926,                   0,             0.99956,                   1,               0.995,               0.796,            0.010393,           0.0070278,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.034517,            0.016344,                   0,                   1,             0.99993,               0.995,             0.84782,            0.010941,           0.0062056,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.034858,            0.016038,                   0,                   1,             0.99978,               0.995,             0.82152,             0.01393,           0.0095221,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.034163,             0.01571,                   0,             0.99965,                   1,               0.995,             0.82191,            0.012108,           0.0059593,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.033913,            0.015796,                   0,             0.99986,                   1,               0.995,             0.77381,             0.01461,           0.0067444,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.033739,            0.015776,                   0,                   1,             0.99973,               0.995,               0.454,            0.017469,            0.011395,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.033687,             0.01563,                   0,             0.99952,                   1,               0.995,             0.57812,            0.018326,            0.010557,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.033457,             0.01528,                   0,             0.99991,                   1,               0.995,               0.796,            0.011239,           0.0083092,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.033377,            0.015736,                   0,             0.99994,                   1,               0.995,             0.67507,            0.014753,           0.0087922,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.032931,            0.015431,                   0,             0.99997,                   1,               0.995,             0.84869,            0.013118,            0.007553,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.032456,            0.015177,                   0,             0.99971,                   1,               0.995,              0.7494,            0.011939,           0.0076846,                   0,            0.003466,            0.003466,            0.003466
